,ClocsCNN_0,ClocsCNN_1,ClocsCNN_2,val_auroc,test_auroc,test_tpr
205,0.02,0.04,0.94,0.9499981999397278,0.95147705078125,0.8333697051698928
206,0.02,0.05,0.93,0.9500778317451477,0.9516337513923645,0.833888610038142
207,0.02,0.06,0.92,0.9501531720161438,0.9517840147018433,0.8346072569088303
208,0.02,0.07,0.91,0.9502257108688354,0.9519290924072266,0.8350860921371364
209,0.02,0.08,0.9,0.9502980709075928,0.9520679712295532,0.835754485253645
210,0.02,0.09,0.89,0.9503686428070068,0.9522014856338501,0.8366298341201773
211,0.02,0.1,0.88,0.9504348039627075,0.9523285031318665,0.8378693560002619
212,0.02,0.11,0.87,0.9504997730255127,0.952450692653656,0.8390189126937049
213,0.02,0.12,0.86,0.9505621194839478,0.9525678753852844,0.8394171291951883
214,0.02,0.13,0.85,0.9506233930587769,0.9526793956756592,0.8400944940313817
215,0.02,0.14,0.84,0.9506827592849731,0.9527854919433594,0.8410053660582872
216,0.02,0.15,0.83,0.9507406949996948,0.9528868794441223,0.8414631001105043
217,0.02,0.16,0.82,0.9507968425750732,0.9529833197593689,0.8420911519791993
218,0.02,0.17,0.81,0.9508505463600159,0.9530751705169678,0.8426870785413438
219,0.02,0.18,0.8,0.9509027600288391,0.953162670135498,0.843128996355542
220,0.02,0.19,0.79,0.950956404209137,0.9532457590103149,0.843976572060722
221,0.02,0.2,0.78,0.9510089159011841,0.9533240795135498,0.8443747837174719
222,0.02,0.21,0.77,0.9510602355003357,0.9533984661102295,0.8450432461136693
223,0.02,0.22,0.76,0.9511104822158813,0.9534685611724854,0.845545437257023
224,0.02,0.23,0.75,0.9511587619781494,0.9535349607467651,0.845804023695039
225,0.02,0.24,0.74,0.9512049555778503,0.953597903251648,0.8459337499121014
226,0.02,0.25,0.73,0.9512510299682617,0.953657329082489,0.8466024406163636
227,0.02,0.26,0.72,0.9512945413589478,0.9537138342857361,0.8467737661374045
228,0.02,0.27,0.71,0.9513342380523682,0.9537673592567444,0.8466669179629921
229,0.02,0.28,0.7,0.9513710141181946,0.95381760597229,0.847020055430679
230,0.02,0.29,0.69,0.9514034986495972,0.9538658857345581,0.8477869815844195
231,0.02,0.3,0.68,0.9514343738555908,0.953911542892456,0.8479557209261724
232,0.02,0.31,0.67,0.951463520526886,0.9539543390274048,0.8482094144861752
233,0.02,0.32,0.66,0.9514899253845215,0.9539949297904968,0.8485247583091461
234,0.02,0.33,0.65,0.9515154957771301,0.954033374786377,0.8487311850142742
235,0.02,0.34,0.64,0.9515393376350403,0.9540698528289795,0.8488902952665691
236,0.02,0.35,0.63,0.9515618085861206,0.9541047215461731,0.8488131869730631
237,0.02,0.36,0.62,0.9515812397003174,0.954136848449707,0.8490987058900551
238,0.02,0.37,0.61,0.9516010284423828,0.9541677236557007,0.8491666550938095
239,0.02,0.38,0.6,0.9516171813011169,0.9541964530944824,0.8491244259744792
240,0.02,0.39,0.59,0.9516317844390869,0.9542241096496582,0.8489749459303935
241,0.02,0.4,0.58,0.9516438245773315,0.9542495012283325,0.8494760636943601
242,0.02,0.41,0.57,0.951654314994812,0.9542731046676636,0.8497387103218236
243,0.02,0.42,0.56,0.9516634941101074,0.9542953968048096,0.8500401302596707
244,0.02,0.43,0.55,0.951670229434967,0.9543150067329407,0.8505541855497118
245,0.02,0.44,0.54,0.9516758918762207,0.9543337821960449,0.8504323950060808
246,0.02,0.45,0.53,0.9516806602478027,0.9543499946594238,0.8501610233164255
247,0.02,0.46,0.52,0.951683521270752,0.9543655514717102,0.8503462598840467
248,0.02,0.47,0.51,0.9516851902008057,0.9543787240982056,0.8503262553739386
